id,label
1,1
10,0
100,1.77E-35
1000,1
10000,1
10001,0
10002,5.23E-37
10003,1
10004,1
10005,1.00E-36
10006,0
10007,7.32E-36
10008,0
10009,0
1001,0
10010,1
10011,1
10012,0
10013,3.24E-23
10014,0
10015,1
10016,2.54E-22
10017,9.32E-34
10018,0
10019,6.59E-37
1002,1
10020,8.37E-29
10021,0
10022,1
10023,1
10024,1
10025,1
10026,1
10027,1
10028,3.18E-33
10029,1
1003,1
10030,1
10031,0
10032,3.61E-22
10033,6.17E-22
10034,1
10035,1
10036,1
10037,1.99E-16
10038,1
10039,1
1004,1
10040,0
10041,1
10042,0.009899662
10043,1
10044,0
10045,1
10046,1
10047,1
10048,1
10049,4.48E-30
1005,3.67E-37
10050,1.79E-31
10051,0
10052,0
10053,1
10054,2.12E-34
10055,0
10056,1
10057,9.21E-19
10058,1
10059,1
1006,1
10060,1
10061,1.31E-34
10062,2.78E-31
10063,1
10064,1
10065,0
10066,1.13E-35
10067,0
10068,0
10069,5.15E-37
1007,1
10070,1
10071,2.43E-38
10072,1.00E-24
10073,1
10074,0
10075,2.60E-27
10076,0
10077,6.71E-31
10078,1
10079,0
1008,0
10080,1
10081,1.09E-32
10082,1.68E-30
10083,0
10084,1
10085,1
10086,1
10087,1
10088,2.63E-34
10089,0.000213476
1009,1
10090,1.52E-27
10091,8.04E-36
10092,1
10093,2.04E-11
10094,1
10095,0
10096,1
10097,1
10098,1
10099,3.18E-34
101,6.95E-31
1010,1
10100,1
10101,1
10102,9.43E-33
10103,0
10104,1
10105,1
10106,0
10107,4.51E-21
10108,1
10109,0
1011,0
10110,1
10111,6.49E-35
10112,0
10113,1
10114,7.72E-32
10115,4.46E-35
10116,1
10117,3.86E-28
10118,2.42E-38
10119,1
1012,1
10120,0
10121,0
10122,5.08E-35
10123,3.00E-14
10124,1
10125,1.23E-09
10126,4.40E-20
10127,1
10128,4.61E-25
10129,1
1013,0
10130,5.85E-34
10131,1
10132,0
10133,7.46E-33
10134,1
10135,1
10136,1
10137,2.26E-30
10138,1
10139,1
1014,1
10140,1
10141,1
10142,1
10143,1
10144,1
10145,0
10146,1
10147,1
10148,1
10149,0
1015,0
10150,2.79E-14
10151,0
10152,0
10153,1
10154,2.72E-19
10155,1
10156,2.83E-23
10157,4.43E-13
10158,0
10159,1
1016,1
10160,0
10161,3.32E-31
10162,1
10163,1
10164,1
10165,1
10166,1
10167,1
10168,1
10169,1
1017,0
10170,1.62E-33
10171,0
10172,1
10173,0
10174,4.31E-34
10175,1.44E-36
10176,1
10177,1
10178,2.07E-26
10179,1
1018,1
10180,5.91E-27
10181,1
10182,3.05E-34
10183,1.99E-20
10184,2.01E-34
10185,1
10186,1
10187,1
10188,4.31E-11
10189,1
1019,1
10190,1
10191,6.91E-29
10192,1
10193,2.63E-28
10194,1.86E-30
10195,1
10196,1
10197,1
10198,0
10199,0
102,1
1020,0
10200,2.89E-31
10201,0
10202,1
10203,1
10204,0
10205,6.91E-24
10206,2.26E-27
10207,1
10208,1
10209,1
1021,5.96E-20
10210,0
10211,3.49E-37
10212,0
10213,1
10214,1
10215,0
10216,1
10217,5.82E-11
10218,0
10219,2.40E-26
1022,0
10220,1
10221,1
10222,1
10223,1.57E-30
10224,2.56E-37
10225,1.33E-26
10226,3.89E-29
10227,9.19E-36
10228,1.61E-33
10229,1.33E-27
1023,1.62E-23
10230,0.000230374
10231,1
10232,1
10233,1
10234,5.83E-36
10235,0
10236,0
10237,0
10238,1
10239,2.63E-35
1024,3.83E-25
10240,0
10241,1
10242,1
10243,1
10244,1
10245,1
10246,0.994611502
10247,1
10248,3.61E-28
10249,1
1025,0
10250,5.78E-38
10251,1
10252,7.05E-35
10253,1
10254,1
10255,1
10256,1
10257,2.09E-35
10258,1
10259,1
1026,2.47E-26
10260,5.72E-07
10261,1
10262,1
10263,1
10264,0
10265,1.88E-25
10266,0
10267,0
10268,1
10269,0.111636162
1027,0
10270,0
10271,1
10272,9.24E-28
10273,0
10274,0
10275,1
10276,1.81E-22
10277,4.25E-09
10278,5.85E-13
10279,1
1028,2.36E-27
10280,1
10281,1
